object_id,card_name,card_description,card_type,card_rarity,card_color_id,card_energy_cost,card_energy_cost_is_variable,card_energy_cost_variable_upper_bound,card_requires_target,card_exhausts,card_is_ethereal,card_is_retained,card_appears_in_card_packs,card_texture_path,card_keyword_object_ids,damage,number_of_attacks,block,draw_count,status_charge_amount,status_secondary_charge_amount,money_amount,heal_amount,damage_random,status_effect_object_id,status_force_apply_new_effect,random_consumable,fill_all_slots,ignored_interceptor_ids,multiplier_offset,action_type,action_time_delay,action_target_override,action_on_lethal,validator_type,card_upgrade_amount_max,first_upgrade_energy_cost,upgrade_damage,upgrade_block,upgrade_number_of_attacks,upgrade_draw_count,upgrade_status_charge_amount,upgrade_status_secondary_charge_amount,upgrade_damage_random,upgrade_multiplier_offset,card_first_shuffle_priority,min_card_amount,max_card_amount,pickable_cards_max_amount,draft_max_card_amount,min_cards_are_required_for_action,draft_from_card_pool,random_selection,quick_pick,card_pick_type,card_pick_text,draft_card_pack_id,draft_use_player_draft,draft_is_weighted,draft_use_pity_system,pick_child_action_1_type,pick_child_action_1_params,pick_child_action_2_type,pick_child_action_2_params,pick_child_action_3_type,pick_child_action_3_params,pick_validator_1_type,pick_validator_1_params,pick_validator_2_type,pick_validator_2_params,pick_validator_3_type,pick_validator_3_params,upgrade_min_card_amount,upgrade_max_card_amount,upgrade_pickable_cards_max_amount,card_values_json,card_play_actions_json,card_draw_actions_json,card_discard_actions_json,card_retain_actions_json,card_listeners_json
upgrade_entire_deck_card,升级整副卡组,在本场战斗剩余时间内升级卡组中的所有牌。放逐。,1,3,color_purple,3,False,-1,False,True,False,False,True,,,,,,,,,,,,,,,,,,ActionPickUpgradeCards,,,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variable_cost_attack_card,X费攻击,消耗X点能量造成 [damage] 点伤害,0,3,color_white,0,True,5,True,False,False,False,True,,,1,1,,,,,,,,,,,,,,ActionVariableCostModifier,0,,,,1,,1,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
card_hasty_sorting,慌忙整理,弃置最多 [max_card_amount] 张牌。每弃置1张，抽 [draw_count] 张牌。,1,1,color_blue,1,False,-1,False,False,False,False,True,external/sprites/cards/blue/card_blue.png,keyword_discard,,,,1,,,,,,,,,,"""""",,,,,,,1,,,,,,,,,,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"{""draw_count"":1,""min_card_amount"":0,""max_card_amount"":2}","[{""res://scripts/actions/pick_card_actions/ActionPickCards.gd"":{""min_card_amount"":0,""max_card_amount"":2,""card_pick_type"":0,""card_pick_text"":""选择最多 {0} 张牌弃掉。已选择 {1} 张牌"",""action_data"":[{""res://scripts/actions/cardset_actions/ActionDiscardCards.gd"":{}},{""res://scripts/actions/meta_actions/ActionVariableCardsetModifier.gd"":{""multiplied_values"":[""draw_count""],""action_data"":[{""res://scripts/actions/meta_actions/ActionDrawGenerator.gd"":{""draw_count"":1}}]}}],""actions_on_lethal"":[]}}]",,,,
card_something_fell_out,掉出来了,无法打出。被手动弃置时获得 [energy_amount] 点能量。,1,1,color_blue,1,False,-1,False,False,False,False,True,external/sprites/cards/blue/card_blue.png,keyword_discard,,,,,,,,,,,,,,"""""",,,,,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""energy_amount"":2}",,,"[{""res://scripts/actions/ActionAddEnergy.gd"":{""energy_amount"":2,""actions_on_lethal"":[]}}]",,
card_quick_search,临时翻找,从弃牌堆选择 [max_card_amount] 张牌加入手牌。本回合其费用变为0。,1,2,color_blue,1,False,-1,False,False,False,False,True,external/sprites/cards/blue/card_blue.png,,,,,,,,,,,,,,,"""""",,,,,,,1,0,,,,,,,,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""min_card_amount"":1,""max_card_amount"":1}","[{""res://scripts/actions/pick_card_actions/ActionPickCards.gd"":{""min_card_amount"":1,""max_card_amount"":1,""min_cards_are_required_for_action"":true,""card_pick_type"":4,""card_pick_text"":""从弃牌堆选择 {0} 张牌。已选择 {1} 张牌"",""action_data"":[{""res://scripts/actions/cardset_actions/ActionAddCardsToHand.gd"":{}},{""res://scripts/actions/cardset_actions/ActionChangeCardEnergies.gd"":{""card_energy_cost_until_turn"":0}}],""actions_on_lethal"":[]}}]",,,,
card_by_accident,误打误撞,随机打出弃牌堆中的 [max_card_amount] 张牌。,1,2,color_blue,1,False,-1,False,False,False,False,True,external/sprites/cards/blue/card_blue.png,,,,,,,,,,,,,,,"""""",,,,,,,1,0,,,,,,,,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""min_card_amount"":1,""max_card_amount"":1}","[{""res://scripts/actions/pick_card_actions/ActionPickCards.gd"":{""min_card_amount"":1,""max_card_amount"":1,""min_cards_are_required_for_action"":true,""random_selection"":true,""card_pick_type"":4,""action_data"":[{""res://scripts/actions/cardset_actions/ActionPlayCards.gd"":{}}],""actions_on_lethal"":[]}}]",,,,
card_backup_drink,备用饮料,生成一个随机消耗品。如果本回合弃置过牌，抽 [draw_count] 张牌。放逐。,1,3,color_blue,1,False,-1,False,True,False,False,True,external/sprites/cards/blue/card_blue.png,,,,,1,,,,,,,,1,0,"""""",,,,,,,1,,,,,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""draw_count"":1,""random_consumable"":1,""fill_all_slots"":0}","[{""res://scripts/actions/player_actions/ActionAddConsumable.gd"":{""random_consumable"":1,""fill_all_slots"":0,""actions_on_lethal"":[]}},{""res://scripts/actions/meta_actions/ActionValidator.gd"":{""validator_data"":[{""res://scripts/validators/ValidatorCombatStats.gd"":{""stat_enum"":13,""is_total_stat"":false,""operator"":"">"",""comparison_value"":0}}],""passed_action_data"":[{""res://scripts/actions/meta_actions/ActionDrawGenerator.gd"":{""actions_on_lethal"":[]}}],""failed_action_data"":[]}}]",,,,
card_first_beat,第一拍,获得 [block] 点格挡。如果这是本回合打出的第一张牌，额外抽 [draw_count] 张牌。,1,1,color_green,1,False,-1,False,False,False,False,True,external/sprites/cards/green/card_green.png,keyword_block,,,6,1,,,,,,,,,,"""""",,,,,,,1,,,3,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""block"":6,""draw_count"":1}","[{""res://scripts/actions/ActionBlock.gd"":{""time_delay"":0.5,""target_override"":1,""actions_on_lethal"":[]}},{""res://scripts/actions/meta_actions/ActionValidator.gd"":{""validator_data"":[{""res://scripts/validators/ValidatorCombatStats.gd"":{""stat_enum"":11,""is_total_stat"":false,""operator"":""=="",""comparison_value"":0}}],""passed_action_data"":[{""res://scripts/actions/meta_actions/ActionDrawGenerator.gd"":{""draw_count"":1}}],""failed_action_data"":[]}}]",,,,
card_distorted_note,失真音,造成 [damage] 点伤害并施加 [status_charge_amount] 层腐蚀。如果目标正在攻击，切换其意图。,0,2,color_green,1,False,-1,True,False,False,False,True,external/sprites/cards/green/card_green.png,keyword_corrosion,5,1,,,4,,,,,status_effect_corrosion,,,,"""""",,,,,,,1,,2,,,,2,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""damage"":5,""number_of_attacks"":1,""status_charge_amount"":4,""status_effect_object_id"":""status_effect_corrosion""}","[{""res://scripts/actions/meta_actions/ActionAttackGenerator.gd"":{""time_delay"":0.0,""actions_on_lethal"":[]}},{""res://scripts/actions/status_actions/ActionApplyStatus.gd"":{""time_delay"":0.5,""actions_on_lethal"":[]}},{""res://scripts/actions/meta_actions/ActionValidator.gd"":{""validator_data"":[{""res://scripts/validators/card_plays/ValidatorCardPlayEnemyAttacking.gd"":{}}],""passed_action_data"":[{""res://scripts/actions/enemy_actions/ActionCycleEnemyIntent.gd"":{""time_delay"":0.0,""actions_on_lethal"":[]}}],""failed_action_data"":[]}}]",,,,
card_tuning,调音,选择1张手牌。本场战斗中其伤害和格挡提高 [improve_amount]。放逐。,1,2,color_green,1,False,-1,False,True,False,False,True,external/sprites/cards/green/card_green.png,,,,,,,,,,,,,,,"""""",,,,,,,1,,,,,,,,,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""improve_amount"":2,""min_card_amount"":1,""max_card_amount"":1}","[{""res://scripts/actions/pick_card_actions/ActionPickCards.gd"":{""min_card_amount"":1,""max_card_amount"":1,""min_cards_are_required_for_action"":true,""card_pick_type"":0,""card_pick_text"":""选择 {0} 张牌调音。已选择 {1} 张牌"",""action_data"":[{""res://scripts/actions/cardset_actions/ActionImproveCardValues.gd"":{""improve_parent_card"":false,""card_value_improvements"":{""damage"":2,""block"":2}}}],""actions_on_lethal"":[]}}]",,,,
card_warmup,赛前热身,保留。获得 [block] 点格挡。每次被保留时，格挡提高 [improve_amount]。,1,1,color_orange,1,False,-1,False,False,False,True,True,external/sprites/cards/orange/card_orange.png,"keyword_block,keyword_retain",,,6,,,,,,,,,,,"""""",,,,,,,1,,,2,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""block"":6,""improve_amount"":2}","[{""res://scripts/actions/ActionBlock.gd"":{""time_delay"":0.5,""target_override"":1,""actions_on_lethal"":[]}}]",,,"[{""res://scripts/actions/cardset_actions/ActionImproveCardValues.gd"":{""pick_played_card"":true,""improve_parent_card"":false,""card_value_improvements"":{""block"":2}}}]",
card_sports_drink,运动饮料,抽到时获得 [energy_amount] 点能量。打出时抽 [draw_count] 张牌。放逐。,1,1,color_orange,1,False,-1,False,True,False,False,True,external/sprites/cards/orange/card_orange.png,keyword_exhaust,,,,1,,,,,,,,,,"""""",,,,,,,1,,,,,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""energy_amount"":1,""draw_count"":1}","[{""res://scripts/actions/meta_actions/ActionDrawGenerator.gd"":{""actions_on_lethal"":[]}}]","[{""res://scripts/actions/ActionAddEnergy.gd"":{""energy_amount"":1,""actions_on_lethal"":[]}}]",,,
card_bag_swing,甩包冲撞,造成 [damage] 点伤害。如果本回合有牌被放逐，额外造成 [bonus_damage] 点伤害。,0,1,color_orange,1,False,-1,True,False,False,False,True,external/sprites/cards/orange/card_orange.png,,7,1,,,,,,,,,,,,"""""",,,,,,,1,,3,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""damage"":7,""bonus_damage"":8,""number_of_attacks"":1}","[{""res://scripts/actions/meta_actions/ActionAttackGenerator.gd"":{""time_delay"":0.0,""actions_on_lethal"":[]}},{""res://scripts/actions/meta_actions/ActionValidator.gd"":{""validator_data"":[{""res://scripts/validators/ValidatorCombatStats.gd"":{""stat_enum"":14,""is_total_stat"":false,""operator"":"">"",""comparison_value"":0}}],""passed_action_data"":[{""res://scripts/actions/meta_actions/ActionAttackGenerator.gd"":{""custom_key_names"":{""damage"":""bonus_damage""},""number_of_attacks"":1,""time_delay"":0.0,""actions_on_lethal"":[]}}],""failed_action_data"":[]}}]",,,,
card_old_item_reuse,旧物回收,放逐1张手牌。获得 [block] 点格挡，抽 [draw_count] 张牌。,1,2,color_orange,1,False,-1,False,False,False,False,True,external/sprites/cards/orange/card_orange.png,"keyword_exhaust,keyword_block",,,6,1,,,,,,,,,,"""""",,,,,,,1,,,3,,,,,,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""block"":6,""draw_count"":1,""min_card_amount"":1,""max_card_amount"":1}","[{""res://scripts/actions/pick_card_actions/ActionPickCards.gd"":{""min_card_amount"":1,""max_card_amount"":1,""min_cards_are_required_for_action"":true,""card_pick_type"":0,""card_pick_text"":""选择 {0} 张牌放逐。已选择 {1} 张牌"",""action_data"":[{""res://scripts/actions/cardset_actions/ActionExhaustCards.gd"":{}},{""res://scripts/actions/ActionBlock.gd"":{""target_override"":1,""time_delay"":0.5}},{""res://scripts/actions/meta_actions/ActionDrawGenerator.gd"":{""draw_count"":1}}],""actions_on_lethal"":[]}}]",,,,
card_sprint_start,冲刺起跑,抽到时，本回合费用变为0。造成 [damage] 点伤害。,0,2,color_orange,2,False,-1,True,False,False,False,True,external/sprites/cards/orange/card_orange.png,,12,1,,,,,,,,,,,,"""""",,,,,,,1,,4,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""damage"":12,""number_of_attacks"":1}","[{""res://scripts/actions/meta_actions/ActionAttackGenerator.gd"":{""time_delay"":0.0,""actions_on_lethal"":[]}}]","[{""res://scripts/actions/cardset_actions/ActionChangeCardEnergies.gd"":{""pick_played_card"":true,""card_energy_cost_until_turn"":0}}]",,,
card_opening_strike,破绽打击,造成 [damage] 点伤害。如果目标正在攻击，施加 [status_charge_amount] 层易伤。,0,1,color_red,1,False,-1,True,False,False,False,True,external/sprites/cards/red/card_red.png,,7,1,,,2,,,,,status_effect_vulnerable,,,,"""""",,,,,,,1,,3,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""damage"":7,""number_of_attacks"":1,""status_charge_amount"":2,""status_effect_object_id"":""status_effect_vulnerable""}","[{""res://scripts/actions/meta_actions/ActionAttackGenerator.gd"":{""time_delay"":0.0,""actions_on_lethal"":[]}},{""res://scripts/actions/meta_actions/ActionValidator.gd"":{""validator_data"":[{""res://scripts/validators/card_plays/ValidatorCardPlayEnemyAttacking.gd"":{}}],""passed_action_data"":[{""res://scripts/actions/status_actions/ActionApplyStatus.gd"":{""status_charge_amount"":2,""status_effect_object_id"":""status_effect_vulnerable"",""time_delay"":0.5,""actions_on_lethal"":[]}}],""failed_action_data"":[]}}]",,,,
card_finisher,终结拳,造成 [damage] 点伤害。本回合每打出过1张牌，额外造成 [damage_per_card] 点伤害。,0,3,color_red,2,False,-1,True,False,False,False,True,external/sprites/cards/red/card_red.png,,12,1,,,,,,,,,,,,"""""",,,,,,,1,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""damage"":12,""damage_per_card"":3,""number_of_attacks"":1}","[{""res://scripts/actions/meta_actions/ActionVariableCombatStatsModifier.gd"":{""stat_enum"":11,""is_total_stat"":false,""multiplied_values"":[""damage""],""multiplied_values_bases"":{""damage"":12},""action_data"":[{""res://scripts/actions/meta_actions/ActionAttackGenerator.gd"":{""damage"":3,""number_of_attacks"":1,""time_delay"":0.0,""actions_on_lethal"":[]}}]}}]",,,,
card_pursuit,追击,造成 [damage] 点伤害。若上一张牌是攻击，抽 [draw_count] 张牌。,0,1,color_red,1,False,-1,True,False,False,False,True,external/sprites/cards/red/card_red.png,,6,1,,1,,,,,,,,,,,,,,,,,1,,3,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""damage"": 6, ""number_of_attacks"": 1, ""draw_count"": 1}","[{""res://scripts/actions/meta_actions/ActionAttackGenerator.gd"": {""time_delay"": 0.0, ""actions_on_lethal"": []}}, {""res://scripts/actions/meta_actions/ActionValidator.gd"": {""validator_data"": [{""res://scripts/validators/card_plays/ValidatorPreviousCard.gd"": {""card_type"": 0}}], ""passed_action_data"": [{""res://scripts/actions/meta_actions/ActionDrawGenerator.gd"": {""draw_count"": 1}}], ""failed_action_data"": []}}]",[],[],[],[]
card_echo_shield,回声护盾,获得 [block] 点格挡。若上一张牌也是技能，额外获得 [bonus_block] 点格挡。,1,2,color_green,1,False,-1,False,False,False,False,True,external/sprites/cards/green/card_green.png,keyword_block,,,7,,,,,,,,,,,,,,,,,,1,,,3,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""block"": 7, ""bonus_block"": 6}","[{""res://scripts/actions/ActionBlock.gd"": {""time_delay"": 0.5, ""target_override"": 1}}, {""res://scripts/actions/meta_actions/ActionValidator.gd"": {""validator_data"": [{""res://scripts/validators/card_plays/ValidatorPreviousCard.gd"": {""card_type"": 1}}], ""passed_action_data"": [{""res://scripts/actions/ActionBlock.gd"": {""custom_key_names"": {""block"": ""bonus_block""}, ""time_delay"": 0.5, ""target_override"": 1}}], ""failed_action_data"": []}}]",[],[],[],[]
card_finale_burst,终场爆音,造成 [damage] 点伤害。目标每有1层腐蚀，额外造成 [corrosion_damage_multiplier] 点伤害。,0,3,color_green,2,False,-1,True,False,False,False,True,external/sprites/cards/green/card_green.png,keyword_corrosion,8,1,,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""damage"": 8, ""corrosion_damage_multiplier"": 2, ""number_of_attacks"": 1}","[{""res://scripts/actions/meta_actions/ActionTargetStatusValueModifier.gd"": {""status_effect_object_id"": ""status_effect_corrosion"", ""charge_key"": ""status_charges"", ""multiplier"": 2, ""value_key"": ""damage"", ""operation"": ""add"", ""default_value"": 0, ""action_data"": [{""res://scripts/actions/meta_actions/ActionAttackGenerator.gd"": {""number_of_attacks"": 1, ""time_delay"": 0.0, ""actions_on_lethal"": []}}]}}]",[],[],[],[]
